09/04/2023	13:21:21	a4db3da7-88ae-4414-8456-877ca8914fb9	GET 	undefined 	/favicon.ico
09/04/2023	16:03:42	da271d28-7953-48b1-b81b-c3709cda762b	GET 	undefined 	/
09/04/2023	16:03:42	e52e6342-efa7-4eed-be5e-f495cc72c678	GET 	undefined 	/css/style.css
09/04/2023	16:03:42	66fb3137-6861-4ccb-8637-ac423df77586	GET 	undefined 	/favicon.ico
09/04/2023	16:26:49	c3fb6a54-e8f5-4f6d-8962-0b4b1881c00c	GET 	undefined 	/employees/
09/04/2023	16:27:53	d5f05601-289e-447c-9c46-fae0f2a69cd0	POST 	undefined 	/employees/
09/04/2023	16:29:06	93d376d2-9847-4b91-8769-9784d5aaed04	PUT 	undefined 	/employees/
09/04/2023	16:29:35	e0f390bf-4d76-465f-b03a-9ed6957ec4a5	PUT 	undefined 	/employees/
09/04/2023	16:30:11	c7f351a6-e88f-4a40-bee6-04e75e467468	PUT 	undefined 	/employees/
09/04/2023	16:30:42	cde32570-f377-40dc-9ba9-1d952086f163	POST 	undefined 	/employees/
09/04/2023	16:31:01	b6bf5cd1-fdeb-474a-bcee-8a851e63071b	PUT 	undefined 	/employees/
09/04/2023	16:31:09	95a240db-3f61-4a3c-8e76-f2a6b473611f	PUT 	undefined 	/employees/
09/04/2023	16:31:29	2aa0cf58-5ae2-4114-a4b4-0fbfb8903ec2	PUT 	undefined 	/employees/
09/04/2023	16:32:14	dc56ce7c-0aac-44d9-a821-0ff0dee64707	DELETE 	undefined 	/employees/
09/04/2023	16:32:33	bd12e22b-b55f-4cbb-9f47-94dcda1a1617	GET 	undefined 	/employees/1
